,Position,Team Name,Bed Number,Category,Time M:S,Year
487,58,Knaresborough Silver Band,55,Xe,24:14.4,2024
488,60,Meadowside Masters,68,Xe,24:33.3,2024
489,61,1st Scriven Scout Group,50,Xje,25:09.9,2024
490,62,Knaresborough Air Cadets,67,Xf,25:17.6,2024
491,63,Flaxby Flyers,58,Me,25:20.3,2024
492,64,Aspin PTA (Staff),54,Xe,25:29.2,2024
493,65,North Yorkshire Horizons,74,Xe,25:49.8,2024
494,66,The Hatchlings,81,Xe,26:31.6,2024
495,67,Welly Warriors,62,Xf,26:51.4,2024
496,68,Once more into the fray,75,Me,27:07.9,2024
497,69,Switalskis Solicitors,78,Xe,27:13.1,2024
498,70,Taylors of Harrogate,72,Xe,27:28.8,2024
499,71,GT Flyers,57,Mne,27:43.8,2024
500,72,Horsforth St Margaret's Primary School,86,Fne,28:24.4,2024
501,73,Nidd Valley Mixed Number 2,32,Xec,28:26.8,2024
502,74,MOGS (Mums of Goldsborough School),77,Fe,28:37.8,2024
503,75,Armed Forces Fitness,76,Me,28:38.1,2024
504,76,Fontus,83,Xe,29:52.0,2024
505,77,Manor preschool,82,Xe,29:53.8,2024
506,78,Evolve Psychology,90,Fe,30:08.7,2024
507,79,Meadowside Mavericks,69,Xe,30:17.7,2024
508,80,New Park Pacers,87,Fe,31:08.5,2024
509,81,Titanators (Titan Private Wealth Ltd),73,Xne,31:46.5,2024
510,82,HOPS,79,Xe,31:58.6,2024
511,83,Hard Caw Warriors #1,84,Xne,33:18.2,2024
512,84,Twisted Blisters,88,Fe,33:27.4,2024
513,85,Where there's a wheel there's a way,89,Fe,34:38.8,2024
514,86,Innovate Fitness & Wellbeing,85,Fne,34:51.7,2024
515,87,Stray Runners,80,Xe,35:05.3,2024
516,88,Henchshaws,26,Xe,36:46.0,2024
517,89,Headingley Sports Club,12,Mnf,37:17.3,2024
518,90,The Knaresborough Inn,71,Xne,-,2024
